Image Name,Average right nail R,Average right nail G,Average right nail B,Blood Sample ID
1709617374918.jpg,104.7953482,157.6839743,146.6559601,202403051
1709617703730.jpg,113.8687735,156.9703789,152.2442427,
1709618658975.jpg,120.5691366,138.2885628,129.5609303,202403056
1709619498294.jpg,118.9225245,157.3221416,150.1831026,
1709620017738.jpg,106.5468111,136.3986816,135.7694511,202403059
1709620482923.jpg,116.7749767,150.1618567,142.0482998,2024030510
1709620997717.jpg,108.9725285,141.3181067,127.626812,
1709621336576.jpg,119.9540939,148.1188412,141.7904348,2024030512
1709621398828.jpg,130.2933788,174.9335079,155.1743755,2024030513
1709622384081.jpg,189.4911404,174.2231846,167.8607759,2024030515
1709622450600.jpg,146.6913824,171.539073,168.0085592,2024030514
1709623030835.jpg,173.3127403,184.6441288,172.214406,2024030516
1709623630933.jpg,177.4871159,184.9265299,169.4673204,2024030517
1709624121407.jpg,154.0071745,184.6905527,181.0709591,2024030519
1709624176391.jpg,96.05612183,81.17657471,70.07550716,2024030518
1709625155249.jpg,199.2254057,186.439105,171.34935,2024030520
1709625560485.jpg,132.4136028,154.6263609,138.8040485,2024030521
1709625695477.jpg,83.53372955,63.10517788,51.3664217,2024030522
1709626272882.jpg,182.3957787,186.6611366,169.7774467,2024030523
1709626757771.jpg,208.122138,205.5955906,188.1550131,2024030524
1709627275580.jpg,188.010107,195.764492,180.0121546,2024030525
1709627557684.jpg,89.14276028,93.86854458,73.54768372,2024030526
1709628056279.jpg,188.9430294,188.3952198,177.1728802,2024030528
1709628231921.jpg,138.7219667,170.2040863,164.2808752,2024030529
1709628983297.jpg,67.55861664,72.71454334,52.99629021,
1709629858074.jpg,182.4537945,191.9131746,169.312623,2024030532
1709630063667.jpg,129.4540863,152.9754868,146.5170641,2024030533
1709630696321.jpg,102.4616613,103.6280813,79.13800526,2024030534
1709630816195.jpg,184.605175,181.9583769,163.4380589,2024030535
1709634325920.jpg,189.2079363,200.2483292,183.7444468,2024030536
1709634792532.jpg,104.7618017,107.5578308,87.06881142,2024030537
1709635011466.jpg,176.3642483,184.3970556,168.0762558,2024030538
1709635416093.jpg,183.6929312,187.0755167,170.5474062,2024030539
1709635654197.jpg,141.3400059,179.672286,175.267746,2024030540
1709635985613.jpg,127.4829817,158.3879662,154.348773,
1709636319092.jpg,97.05247879,95.29190159,75.42278481,
1709636461126.jpg,194.8613052,200.5342855,184.4317551,
1709636926027.jpg,135.8175125,178.8094091,168.8468876,2024030544
1709637558250.jpg,126.9476452,162.7813635,151.3694353,2024030545
1709637756921.jpg,190.9573298,198.9170313,187.1862354,2024030547
1709638398656.jpg,85.6924696,90.1299715,67.63529587,
1709638424302.jpg,185.8443794,192.682682,176.935215,2024030548
1709638555833.jpg,124.5051708,161.1885948,154.8812189,2024030549
1709639482872.jpg,162.6151676,171.6053925,162.1120796,2024030550
1709639787868.jpg,123.9642801,150.997879,150.9519682,2024030551
1709639981572.jpg,76.57338428,103.9222345,83.04216194,2024030552
1709640736974.jpg,197.7831202,196.0311766,191.8508148,2024030554
1709640922586.jpg,125.202611,166.7761784,166.7561388,202403054
1709641895047.jpg,168.3347435,175.610487,159.1568832,2024030557
1709642357991.jpg,179.8991842,170.5105829,167.5628614,2024030559
1709642489695.jpg,96.22455502,127.5625286,133.9521933,2024030560
1709642659433.jpg,170.9460573,182.7129354,171.5055676,
1709643267931.jpg,186.8494349,187.5601892,180.2705708,
1709643657900.jpg,126.8280602,155.9524202,161.197257,2024030565
1709643715482.jpg,29.60885239,49.38771915,34.78651619,2024030564
1709643955450.jpg,167.7706804,170.5390167,161.2497778,2024030566
1709644291360.jpg,98.36970425,140.222888,140.1406202,2024030567
1709700657698.jpg,98.39892483,102.9397736,69.31756973,202403061
1709701000511.jpg,108.2530918,125.4896307,94.69608212,202403062
1709701404030.jpg,113.4692183,122.0933037,96.83175659,202403063
1709701863557.jpg,97.46299076,116.954607,84.68555737,202403064
1709702130515.jpg,83.76651478,95.21527386,62.32953548,
1709702159121.jpg,126.3156977,125.2164373,93.77633381,202403065
1709702513283.jpg,103.4427977,111.2296658,83.65620995,202403067
1709702695601.jpg,88.08908176,102.6941643,60.68401623,202403068
1709703242147.jpg,99.05896854,118.3916235,87.4259119,2024030611
1709703297071.jpg,109.4094553,112.1284046,76.38683414,202403069
1709703713091.jpg,177.3961954,178.4001102,150.6636505,
1709703971420.jpg,91.59601402,100.3876066,69.14485931,2024030613
