Image Name,Average right palm R,Average right palm G,Average right palm B,Blood Sample ID
1709617292291.jpg,73.09235859,98.25097847,105.5493422,202403051
1709617642044.jpg,77.38580036,112.1719961,125.2797022,
1709618574207.jpg,105.1637402,104.0819664,59.78323746,202403056
1709619401194.jpg,93.4752121,125.7452326,128.117506,
1709619908813.jpg,110.9270267,193.0923653,181.8884573,202403059
1709620390303.jpg,68.64437771,106.2907896,120.8143158,2024030510
1709620934262.jpg,94.59848499,110.1270876,120.3321819,
1709621153146.jpg,89.4195261,112.9429493,118.7101679,2024030512
1709621289662.jpg,103.8538723,135.4787569,141.8813162,2024030513
1709622148945.jpg,105.935813,141.6210461,144.8082876,2024030514
1709622296933.jpg,142.1295099,128.922348,136.8779421,2024030515
1709622917777.jpg,106.406126,148.1472292,138.3000746,2024030516
1709623329970.jpg,94.54386425,137.7460155,141.542963,2024030517
1709623734080.jpg,89.17868423,75.06123829,78.6491785,2024030518
1709624014465.jpg,105.2328014,148.0499296,149.2932148,2024030519
1709624975171.jpg,131.0198097,147.5585241,155.932004,2024030520
1709625429296.jpg,79.98914814,133.8221273,122.7236862,2024030521
1709625551728.jpg,65.47361565,100.8593149,93.10843372,2024030522
1709626152965.jpg,120.5498581,144.9291649,145.9748116,2024030523
1709626623522.jpg,144.1966286,168.0478582,167.4133978,2024030524
1709627131135.jpg,114.8038263,173.4405327,174.1215086,2024030525
1709627396293.jpg,93.60483742,122.0717506,118.8667126,2024030526
1709627916633.jpg,144.6364107,158.811861,168.8012304,2024030528
1709628094027.jpg,105.982131,172.1496859,164.0122576,2024030529
1709628797947.jpg,73.48281193,94.01864243,91.25534058,
1709629528900.jpg,116.6474924,171.5176239,160.6834307,2024030532
1709629934733.jpg,94.01287746,164.3157024,175.2032757,2024030533
1709630405270.jpg,72.68187618,89.12978554,88.11579418,2024030534
1709630736590.jpg,136.2191153,148.2385721,157.8511257,2024030535
1709634212798.jpg,169.7932034,203.9921589,210.1338024,2024030536
1709634656906.jpg,70.1363678,96.4029398,107.3281584,2024030537
1709634958461.jpg,132.9374342,181.3161306,164.4840288,2024030538
1709635347809.jpg,141.867094,160.7410583,167.3815546,2024030539
1709635573890.jpg,116.1963692,171.7918663,194.3413143,2024030540
1709635825214.jpg,88.76281071,157.9591732,156.9666958,
1709636200040.jpg,61.48575497,101.4705791,111.9207525,
1709636376665.jpg,116.7048559,171.3944082,179.8022156,
1709636847813.jpg,118.942091,183.4884033,202.0155306,2024030544
1709637443432.jpg,100.8327541,153.3846951,152.3667402,2024030545
1709637662976.jpg,150.4530611,196.5397816,191.6100731,2024030547
1709638148192.jpg,94.52664852,103.1694851,102.5852938,
1709638214691.jpg,177.7401867,205.402523,212.5211468,2024030548
1709638447291.jpg,108.0437241,168.8178167,172.5217686,2024030549
1709639236699.jpg,107.2475615,164.7549982,168.0444889,2024030550
1709639546697.jpg,91.89354706,141.6295557,155.9878559,2024030551
1709639821285.jpg,48.29321098,90.98805428,96.13980198,2024030552
1709640618097.jpg,138.5910978,174.5245476,183.4620514,2024030554
1709640680541.jpg,84.60226727,133.3281097,146.3972654,202403054
1709641779353.jpg,81.41435242,125.394062,140.0820303,2024030557
1709642237119.jpg,99.848032,113.3577843,142.1708393,2024030559
1709642416952.jpg,69.74574661,115.0577087,140.2248926,2024030560
1709642552015.jpg,110.3978977,153.4947939,181.2872095,
1709643137068.jpg,125.4364176,166.4196606,183.2164707,
1709643570873.jpg,19.35926247,43.2911768,65.92263412,2024030564
1709643571504.jpg,76.03898525,108.3725424,136.375947,2024030565
1709643826603.jpg,91.57769489,136.1325436,167.5781384,2024030566
1709644229810.jpg,83.39736366,107.974185,134.3185415,2024030567
1709700544132.jpg,53.87381554,72.63702106,68.52589035,202403061
1709700869535.jpg,55.02763367,94.79873753,98.11176872,202403062
1709701206769.jpg,76.89557743,141.3537397,137.427866,202403063
1709701743522.jpg,69.71314049,122.8664131,128.4291964,202403064
1709701890055.jpg,80.41008377,89.71849918,86.03715611,202403065
1709702025003.jpg,64.02514076,95.89300251,82.62738991,
1709702443061.jpg,78.11792088,131.8587837,120.6304302,202403067
1709702590175.jpg,69.701684,98.4699297,107.2099056,202403068
1709703089505.jpg,62.47148609,96.29590702,108.2418919,2024030611
1709703116532.jpg,76.2208271,102.162034,78.34646225,
1709703144895.jpg,53.12373924,75.40438938,60.94939041,202403069
1709703639862.jpg,127.4670019,159.271224,153.4082651,
1709703868324.jpg,78.73307419,121.47435,114.7382345,2024030613
1709704201926.jpg,46.83731937,64.12986469,63.1009779,2024030614
1709704323630.jpg,41.44123077,106.9151363,81.85902882,2024030615
1709704493034.jpg,90.30027199,104.4869938,91.02217102,2024030616
1709704834606.jpg,61.54201889,89.06402874,90.11255741,
1709705004743.jpg,116.3739052,132.4405451,117.0152369,
1709706037189.jpg,75.60122299,85.453372,67.74248028,2024030619
1709707139180.jpg,65.87859154,99.10980129,108.5013456,
1709707191002.jpg,68.11112118,89.67397881,91.67928982,2024030623
1709707418107.jpg,79.52471161,101.3849392,86.02536964,2024030624
1709707967300.jpg,111.0884418,127.3058224,110.2860422,
1709708071449.jpg,77.25811291,121.6897373,123.2677937,2024030627
1709708401539.jpg,50.79478741,78.66650772,82.50713825,2024030626
1709708869899.jpg,148.4442482,188.0372286,194.4821787,2024030629
1709708938892.jpg,77.93404198,101.2748976,90.16930962,2024030628
1709708963278.jpg,65.26302624,116.3933392,126.0779266,2024030630
1709709397929.jpg,77.56056023,89.82040119,84.79709625,2024030631
1709709572246.jpg,139.2696829,187.2208204,193.2429829,
1709709913597.jpg,70.41757488,110.7787018,115.1369247,
1709710449282.jpg,139.7311659,169.1713467,172.0649948,2024030636
1709710503302.jpg,78.14853382,117.0818901,106.8896523,2024030634
1709711033771.jpg,126.9981737,174.5300837,185.6954441,2024030638
1709711081165.jpg,90.89831066,92.90023327,79.92790794,2024030637
1709711297819.jpg,88.54214096,123.1326733,121.4154911,
1709711901633.jpg,69.48463249,140.7741127,159.0977106,2024030639
1709711968044.jpg,118.7565002,169.2251158,167.736989,
1709712319537.jpg,74.6873064,91.94399452,77.20268822,2024030641
1709712342276.jpg,82.52187634,97.25809383,92.91630268,
1709712804168.jpg,144.9693222,175.7746696,172.5010853,2024030644
1709713000164.jpg,105.8676434,165.482852,162.9915066,2024030645
1709713441641.jpg,87.81414127,112.5954323,108.4816475,2024030647
1709713669641.jpg,150.4129505,173.0932894,177.3906584,2024030649
1709713710122.jpg,89.48667336,103.8381004,102.1373196,2024030648
1709713789868.jpg,72.67952728,112.8931112,112.1223106,2024030650
1709714547335.jpg,115.7915287,178.7679071,179.3834887,2024030651
1709714592319.jpg,73.18305969,102.9080524,85.67175293,
1709714905610.jpg,83.87852097,86.90722179,95.12812424,
1709714978978.jpg,62.04849434,133.2248898,147.936389,
1709715365111.jpg,69.18341255,129.1270723,136.3257132,2024030655
1709715695054.jpg,68.74810982,100.0045319,88.34047127,2024030656
1709719816044.jpg,58.04340649,100.890831,125.5958147,2024030657
1709720027455.jpg,80.47297287,98.99645519,98.97584248,2024030652
1709720072844.jpg,82.98077106,124.9615984,111.5835991,2024030658
1709720550006.jpg,70.38759613,105.8351479,121.7406063,2024030659
1709721057467.jpg,61.21966648,105.0470819,85.17612743,2024030661
1709721321381.jpg,106.7200565,172.7226248,177.189764,
1709721489792.jpg,83.53843212,101.0460749,97.82498169,2024030662
1709721566904.jpg,64.5963726,134.4407034,158.8999977,
1709721996442.jpg,74.76318741,113.8372564,97.35677719,
1709722003970.jpg,63.1739645,116.041523,135.1411381,2024030668
1709722682750.jpg,97.89319897,118.6557817,115.8581676,2024030670
1709722709512.jpg,88.8530159,124.7903013,127.4197836,2024030669
1709723165043.jpg,62.29106712,98.70897865,91.42804718,
1709723539464.jpg,124.2114134,149.2740917,159.9194307,2024030672
1709723779851.jpg,78.12586117,130.7735119,136.1839972,2024030673
1709724301045.jpg,47.08261967,81.66598225,83.50625038,2024030674
1709724336549.jpg,81.52804947,110.3845367,114.9650898,2024030675
1709724951947.jpg,74.94712067,130.1708918,125.0017538,2024030676
1709725395536.jpg,43.14461136,92.51413631,92.35016823,2024030678
1709725787815.jpg,75.68528938,93.46610069,79.69407272,2024030677
1709725877311.jpg,49.04575348,116.3560534,149.3068409,2024030680
1709726094272.jpg,122.503871,185.9183693,193.4619522,2024030679
1709726222493.jpg,49.06721783,91.05985832,77.48224068,2024030681
1709726623060.jpg,76.78990746,120.9334927,135.2164068,2024030682
1709788269537.jpg,56.15967941,69.57996941,59.2871151,202403071
1709788748861.jpg,55.18045425,121.8224106,127.7826548,202403073
1709789019968.jpg,46.24072361,74.32097912,79.49110031,202403074
1709789189546.jpg,49.36718369,95.1372633,106.7541761,202403075
1709789359984.jpg,63.19307995,101.7814922,109.6144142,202403076
1709789492202.jpg,54.32579613,91.81408405,108.7834301,202403077
1709790025540.jpg,44.82717419,84.44159222,95.27606201,
1709790151313.jpg,53.29702091,87.34443855,100.6597929,2024030710
1709790169235.jpg,52.4074831,86.11663055,85.3787756,202403078
1709790344113.jpg,56.30298042,107.4558554,97.54866505,2024030711
1709790686043.jpg,42.72262764,100.1626997,139.3655605,2024030716
1709790854281.jpg,51.08057117,89.80783749,107.833396,
1709791019886.jpg,45.02143764,78.2268095,79.14502811,2024030713
1709791364469.jpg,45.23979664,82.04954815,88.81593895,2024030714
1709791441617.jpg,63.55382156,145.2833843,123.0454521,
1709791648825.jpg,67.38309288,108.8014565,96.36986351,
1709792004313.jpg,53.82449245,101.5946054,109.0663204,2024030719
1709792028238.jpg,40.8149128,88.12440586,91.79870415,2024030718
1709792399174.jpg,53.12857723,82.09819603,104.1103077,2024030721
1709792650714.jpg,41.65903473,66.54833126,64.68606663,2024030720
1709793001232.jpg,60.33491516,99.96123123,93.32951927,2024030722
1709793032525.jpg,56.28102875,84.86226177,83.74943542,2024030724
1709793303524.jpg,53.43796062,81.25825977,87.61282539,2024030723
1709793670686.jpg,56.40988922,88.93687057,91.73649597,
1709793711381.jpg,46.3626194,88.59897232,87.65182018,2024030726
1709794304079.jpg,46.70622253,84.09236717,86.71989536,2024030727
1709794325955.jpg,50.36822701,87.02598858,90.66260433,2024030729
1709794398481.jpg,65.21735382,120.0782003,124.8668013,2024030728
1709794800327.jpg,40.13240242,69.1359787,92.33172417,2024030730
1709794867584.jpg,59.30826473,118.4028091,118.4144526,2024030731
1709795188067.jpg,63.87656021,94.40544319,98.91740799,2024030733
1709795207012.jpg,64.70340443,103.6713791,114.966814,2024030734
1709795565110.jpg,52.56764984,98.0923624,95.20866871,2024030735
1709795939712.jpg,75.34132195,109.2292738,122.6612015,
1709796189435.jpg,69.94391632,119.390316,113.9954176,
1709796261641.jpg,42.95791245,68.9056778,84.23754883,2024030737
1709796573180.jpg,58.12416458,108.3958654,122.9479895,2024030739
1709796754359.jpg,57.95044136,89.82873631,95.27139664,2024030740
1709797071308.jpg,61.04550171,81.00557899,89.07863903,2024030741
1709797410249.jpg,36.93729973,66.20169258,72.52161312,2024030742
1709797562533.jpg,50.15258121,105.4517136,120.8351221,
1709797746097.jpg,67.25707054,90.61303902,86.39314842,2024030744
1709798127000.jpg,61.47114944,81.34671021,74.5768261,2024030745
1709798487149.jpg,67.21204472,93.222929,92.70653725,2024030748
1709798653133.jpg,69.33048534,99.26442146,107.4525337,2024030746
1709798657344.jpg,38.75818634,72.99272156,93.33527565,2024030747
1709798911252.jpg,65.40142345,99.27558136,88.83440781,2024030749
1709799395327.jpg,48.41429329,93.06882381,108.4729357,2024030751
1709799477413.jpg,57.07378197,108.4594002,94.01803684,
1709799647954.jpg,66.99623394,100.686924,98.03185081,2024030752
1709799750815.jpg,45.46317673,79.41812706,92.48254967,2024030750
1709799890536.jpg,81.33831215,108.6007109,100.2460079,2024030754
1709800235083.jpg,58.43245411,80.45516491,100.118227,2024030755
1709800533708.jpg,78.90867901,116.5776882,115.077857,2024030756
1709800585912.jpg,51.99189281,105.9801464,112.1695509,2024030758
1709800812895.jpg,65.33467674,76.17087841,97.36394978,2024030757
1709800945652.jpg,61.91472244,110.007822,109.9197721,2024030759
1709801251851.jpg,79.03469181,103.6955175,98.51848984,2024030760
1709801378712.jpg,95.82608795,113.8570318,110.0247087,2024030761
1709801583915.jpg,67.09824657,99.3053875,94.09611988,2024030762
1709805910499.jpg,62.3531971,92.05810261,90.48504066,
1709806068055.jpg,60.46232796,99.46160793,118.5388956,
1709806491084.jpg,67.18935966,72.73052597,87.71395016,2024030765
1709806722381.jpg,72.22357559,109.1059809,136.7091103,2024030766
1709807168937.jpg,76.15649223,138.3514948,161.6058674,2024030767
1709808098441.jpg,85.6611824,137.6245928,142.6423225,2024030768
1709808239520.jpg,36.24665642,66.36882305,60.31677723,2024030769
1709808434780.jpg,33.83320427,71.29204273,78.45872498,2024030770
1709808846747.jpg,97.96274376,122.3810892,137.353508,2024030771
1709809011502.jpg,53.82297802,91.68032551,91.65292645,2024030772
1709809016489.jpg,60.14919853,102.6956844,96.90419674,2024030773
1709809397531.jpg,87.96648979,104.9994888,123.6036539,2024030775
1709809545550.jpg,61.5597496,108.7235842,109.090826,2024030774
1709809779975.jpg,63.22166157,89.15562725,78.53575993,2024030776
1709809935521.jpg,62.68511677,97.95274353,98.66338921,2024030777
1709810499521.jpg,62.62551785,102.0953236,120.9229479,2024030778
1709810507038.jpg,45.39778328,92.62483978,97.57274246,2024030779
1709810591426.jpg,48.43694687,86.53090858,64.99074841,2024030780
1709873290008.jpg,107.7670107,97.34387779,90.37684441,202403081
1709873512306.jpg,71.08569908,101.7847128,90.8141346,202403082
1709873905365.jpg,53.87125111,75.44233894,77.89396858,202403083
1709874251700.jpg,60.80641556,98.52301884,96.69367695,202403085
1709874420400.jpg,50.93556309,64.66460609,65.53429794,202403084
1709874606566.jpg,65.41811752,80.88935089,93.19907379,
1709874811716.jpg,66.37853813,82.50267315,82.16039753,202403087
1709875094602.jpg,90.38805676,98.36935043,129.9349537,202403088
1709875473317.jpg,110.1847563,118.810504,120.9322329,
1709875495239.jpg,66.14702892,79.58692741,72.30696297,
1709875815656.jpg,64.31557178,82.81451702,90.85450745,
1709875938750.jpg,92.79860592,124.1592503,117.2145634,2024030812
1709876282027.jpg,58.81499386,65.89346027,75.12259102,2024030813
1709876478443.jpg,75.60214806,104.2660608,92.84345055,2024030814
1709876817766.jpg,61.38725281,77.88776207,79.74686527,
1709877003355.jpg,71.44617367,92.92752934,91.18673325,2024030816
1709877126564.jpg,54.76271057,75.49480629,76.31726646,2024030817
1709877321439.jpg,52.04627419,69.91526508,83.88430119,2024030818
1709877512540.jpg,56.2933712,74.65433598,62.74693394,2024030819
1709878008642.jpg,58.44976616,82.97689819,87.44206715,2024030820
1709878575116.jpg,68.09332466,88.07507801,95.85062981,
1709878680112.jpg,61.42678738,82.32433891,81.31230068,2024030823
1709879280964.jpg,45.98515606,69.44167423,68.24607277,2024030825
1709879348988.jpg,66.23416901,85.75474072,94.38840199,2024030826
